Community,Num,Id,Request,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11
Wikipedia,1001,2320,Hmm...the picture was taken on my camera by someone else. To whom does the copyright belong?,2,8,1,,-6,10,11,1,,-5,
Wikipedia,1002,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",-10,4,-2,,-3,4,6,-7,,-11,
Wikipedia,1003,4767,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,1,6,-3,,-9,7,4,9,,-11,
Wikipedia,1004,5692,I don't see a connection between the 'url' and the 'url' articles that would warrant See Also links between the two.  Could you explain that to me?,-2,6,7,,4,1,4,0,,-5,
Wikipedia,1005,7122,url'.. it doesn't really explain what the issue was. Can you word it better?,-4,4,-3,,-4,2,6,-4,,-4,
Wikipedia,1006,17795,"Hello, Jeff79. Would you weigh in on the above linked discussion regarding an edit you made?",4,8,2,,-1,2,,5,,4,
Wikipedia,1007,19520,Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,4,7,8,,6,13,4,13,,6,
Wikipedia,1008,20833,"Darkstar, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",-6,8,-2,,0,13,6,2,,-11,
Wikipedia,1009,21812,These clickable images are great! Can you make one for the 10^-6 to 10^5 range too?,1,11,-2,,3,1,7,0,,5,
Wikipedia,1010,21885,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917.  I wonder whether you could point me to a source for more information on this incident?,4,9,7,,-5,9,3,4,,-2,
Wikipedia,1011,25456,My concern is that you are proceeding at such a rate of knots that it going to be difficult to later unpick and I can see some disagreement on this.  Why not seek a consensus?,0,6,-5,,-6,6,7,4,,-10,
Wikipedia,1012,28354,url' is fooling around with the Rubinstein and Horowitz articles again.  Is there a way to get him banned?,-2,8,1,,4,8,4,3,,-11,
Wikipedia,1013,36851,"I'm curious, are you stopping at characters? Or will you eventually move onto season pages and the main page itself?",1,4,-1,,-3,12,12,-6,,-3,
Wikipedia,1014,39167,"Like most users with their articles screwed over by 'url''s new web facelift, I'm at a lost with 'url' being dead. Can you help?",3,6,1,,-8,3,2,-3,,13,
Wikipedia,1015,39531,Unfortunately the 4chan page you linked to in 'url' does not exist now. Can you give a pointer to what is involved?,1,7,0,,-9,5,7,5,,-8,
Wikipedia,1016,39729,"Could you do me a huge favour, but only if you want to, because I know it's a lot to ask. Could you do the Peer Review for ''Loud'' by any chance?",10,11,5,6,,5,-2,,,13,
Wikipedia,1017,40728,"Hi, I was wondering why it is that 'url' only has two articles in it -- and whether it should be kept. Has it ever been more fully populated?",1,11,1,3,,12,5,,,-1,
Wikipedia,1018,43454,Good find. Do you have a cite for the second para?,3,6,2,5,,6,-2,,,2,
Wikipedia,1019,45710,"Your 'url' give your first edit as on April 9, 2011. Do you have any other account you have not disclosed yet?",5,4,1,8,,10,-2,,,3,
Wikipedia,1020,50455,I noticed that you have a little note at the top saying your status. How do you do that?,1,7,-2,3,,7,6,,,-8,
Wikipedia,1021,50905,I asked some questions in the Criteria for Inclusion section on 20th Dec but no-one has yet responded. Can you take a look?,3,8,1,8,,5,7,,,-4,
Wikipedia,1022,51534,I reverted 'url' as it complicated my normal routine archiving of all the discussions on my talk page.  Could you please refrain from this kind of edit in future?,1,7,5,9,,8,1,,,-2,
Wikipedia,1023,52673,I am trying to figure out the exact definition of 'url' however do not have access to Andrews.  Could you help?,2,12,6,5,,6,0,,,-3,
Wikipedia,1024,60607,"The article is not about this, at all. Could you explain your logic?",1,3,6,7,,8,2,,,-11,
Wikipedia,1025,66092,"Per 'url', there was an autoblock affecting your editing that has now been lifted.  Can you edit freely now?",1,5,1,5,,9,9,,,1,
Wikipedia,1026,69712,"You mean ""the higher solubility in the ocean""? Solubility of what?",0,2,-4,,,8,3,,,-4,
Wikipedia,1027,70280,it is up on their website. Do you know how to put it on the south wales scorpions infobox thing on the wikipedia page?,1,3,2,1,,7,1,,,2,
Wikipedia,1028,75904,I'm interested in why you reduced the columns from 5 to 2? Could you reply on my talk page please?,2,5,5,10,,9,4,,,-2,
Wikipedia,1029,79211,Is as usual being overrun with pointless blather. Would you like to set up a subpage to discuss sources?,1,1,4,5,,10,1,,,-2,
Wikipedia,1030,83428,"Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?",1,6,-2,2,,2,-3,,,-1,
Wikipedia,1031,83786,"OK, I will do that. But probably we should first set the gallery up on commons - do you know anything about editing/creating there?",3,6,1,2,5,,8,,,,
Wikipedia,1032,83791,Why are you uploading/changing badge files here? Surely you should just upload them to Commons then list the wikipedia version for deletion?,-1,0,-2,1,6,,2,,,,
Wikipedia,1033,85093,I have attempted to address your concern. Could you take another look at the article?,7,2,-2,5,7,,6,,,,
