Community,Num,Num,Id,Request,Type,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27
Wikipedia,1,601,218069,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?,Rating,0,,,4,,,,,2,,,,2,,0,,,,12,,,,,,,,,,,8,,-12,,,2,,,,,1,,,,4,,,,2,,3,0
Wikipedia,1,601,218069,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?,Highlight,1: Thanks!,,,1: Thanks!,,,,,"1: Thanks!,2: What",,,,"1: Thanks!,6: do,7: you,8: want",,16: feature?,,,,"1: Thanks!,16: feature?",,,,,,,,,,,"1: Thanks!,2: What,3: type,4: of,5: documentation",,1: Thanks!,,,1: Thanks!,,,,,1: Thanks!,,,,1: Thanks!,,,,"1: Thanks!,6: do,7: you,8: want",,"1: Thanks!,6: do,7: you,8: want","1: Thanks!,6: do,7: you,8: want"
Wikipedia,2,602,629241,"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?",Rating,-8,,,-2,,,,,-4,,,,-3,,0,,,,-3,,,,,,,,,,,-11,,-2,,,-6,,,,,-6,,,,-3,,,,2,,0,-8
Wikipedia,2,602,629241,"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?",Highlight,"28: So,,29: cool,30: down,31: please,,32: okay?",,,"1: I'll,2: unblock,3: you,4: if,28: So,,29: cool,30: down,31: please,,32: okay?",,,,,"1: I'll,2: unblock,3: you,4: if,5: you,28: So,,29: cool,30: down,31: please,,32: okay?",,,,"1: I'll,2: unblock,3: you,29: cool,30: down",,32: okay?,,,,"2: unblock,29: cool,30: down,31: please,,32: okay?",,,,,,,,,,,"2: unblock,29: cool,30: down,31: please,,32: okay?",,"28: So,,29: cool,30: down,31: please,,32: okay?",,,"28: So,,29: cool,30: down,31: please,,32: okay?",,,,,"2: unblock,29: cool,30: down,31: please,,32: okay?",,,,"2: unblock,29: cool,30: down,31: please,,32: okay?",,,,"29: cool,30: down,31: please,,32: okay?",,"31: please,","1: I'll,2: unblock,3: you,4: if,28: So,,29: cool,30: down,31: please,,32: okay?"
Wikipedia,3,603,557162,"I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?",Rating,-5,,,-2,,,,,-4,,,,-2,,0,,,,5,,,,,,,,,,,2,,1,,,-2,,,,,-1,,,,1,,,,2,,3,-12
Wikipedia,3,603,557162,"I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?",Highlight,"1: I,2: thought,3: you,4: had,5: done,6: that,,17: Could,18: you,19: now",,,"1: I,2: thought,3: you,17: Could,18: you,19: now",,,,,"1: I,2: thought,3: you,4: had,5: done",,,,"1: I,2: thought,3: you,4: had,5: done,6: that,,17: Could,18: you",,28: made?,,,,"17: Could,28: made?",,,,,,,,,,,"17: Could,18: you",,"17: Could,18: you,19: now",,,"17: Could,18: you,19: now,20: graft,21: the,22: history,23: on,24: to,25: the,26: changes,27: I,28: made?",,,,,"2: thought,3: you,4: had,5: done",,,,"2: thought,17: Could",,,,"17: Could,18: you,19: now",,"17: Could,18: you","1: I,2: thought,3: you,4: had,17: Could,18: you,19: now"
Wikipedia,4,604,621507,"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?",Rating,-3,,,0,,,,,-6,,,,-2,,0,,,,0,,,,,,,,,,,-4,,-4,,,-3,,,,,-1,,,,0,,,,0,,-3,-5
Wikipedia,4,604,621507,"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?",Highlight,"21: why,22: not,23: insist",,,"12: If,14: really,15: wants,21: why,22: not,32: instead,33: of",,,,,"1: He's,2: returned,3: to,4: the,5: same,6: trolling",,,,"1: He's,2: returned,3: to,4: the,5: same,6: trolling,7: he,8: was,9: doing,10: years,11: ago.,12: If,13: he,14: really,15: wants",,41: war?,,,,"6: trolling,19: good,20: faith,,41: war?",,,,,,,,,,,12: If,,"21: why,22: not,23: insist,24: he,25: make,26: some,27: non-controversial,28: edits,29: for,30: a,31: while,32: instead,33: of,34: immediately,35: restarting,36: a,37: two,38: year,39: old,40: edit,41: war?",,,"21: why,22: not",,,,,"21: why,22: not,23: insist",,,,"21: why,22: not",,,,"12: If,13: he,14: really,15: wants,16: to,17: edit,18: in,19: good,20: faith,",,"7: he,8: was,9: doing,10: years,11: ago.,32: instead,33: of","21: why,22: not,29: for,30: a,31: while,34: immediately"
Wikipedia,5,605,347553,Thanks for help! One more question: similar item at this address is a painting: <url> Do I use the same tags?,Rating,-2,,,4,,,,,4,,,,3,,0,,,,11,,,,,,,,,,,2,,6,,,1,,,,,2,,,,3,,,,3,,2,-1
Wikipedia,5,605,347553,Thanks for help! One more question: similar item at this address is a painting: <url> Do I use the same tags?,Highlight,"1: Thanks,2: for,3: help!,6: question:,7: similar",,,"1: Thanks,2: for,3: help!,16: Do,17: I",,,,,"1: Thanks,2: for,3: help!",,,,"1: Thanks,4: One,5: more,6: question:",,21: tags?,,,,"1: Thanks,6: question:,21: tags?",,,,,,,,,,,"1: Thanks,2: for,3: help!",,"1: Thanks,2: for,3: help!",,,"1: Thanks,2: for,3: help!,16: Do,17: I,18: use,19: the,20: same,21: tags?",,,,,"1: Thanks,2: for,3: help!,4: One,5: more,6: question:",,,,1: Thanks,,,,"1: Thanks,2: for,3: help!",,"1: Thanks,2: for,3: help!","1: Thanks,2: for,3: help!,4: One,5: more,6: question:,16: Do,17: I"
