Community,Num,Num,Id,,
Wikipedia,1,601,218069,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?
Wikipedia,2,602,629241,"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?","I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?"
Wikipedia,3,603,557162,"I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?","I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?"
Wikipedia,4,604,621507,"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?","He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?"
Wikipedia,5,605,347553,Thanks for help! One more question: similar item at this address is a painting: &lt;url&gt; Do I use the same tags?,Thanks for help! One more question: similar item at this address is a painting: <url> Do I use the same tags?
Wikipedia,6,606,488320,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my &lt;url&gt;?","Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?"
Wikipedia,7,607,619476,"Well, as you &lt;name&gt; my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?","Well, as you <name> my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?"
Wikipedia,8,608,385875,"You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?","You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?"
Wikipedia,9,609,420251,"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?","I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?"
Wikipedia,10,610,263166,"Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?","Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?"
Wikipedia,11,611,621975,Very nice. How could I doubt you?,Very nice. How could I doubt you?
Wikipedia,12,612,385786,"Working on it - sent an email to the people at the Cambridge U Library to see if they know where it's from. In the meantime, could you check with Jappalang that his concern about the infobox image has been addressed?","Working on it - sent an email to the people at the Cambridge U Library to see if they know where it's from. In the meantime, could you check with Jappalang that his concern about the infobox image has been addressed?"
Wikipedia,13,613,256896,"Btw, what's ""WPC MOS"", and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?","Btw, what's ""WPC MOS"", and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?"
Wikipedia,14,614,55189,"Hi - there are a few issues that I've pointed out at the nomination page. Also, why does your sign link to the talkpage of &lt;url&gt;?","Hi - there are a few issues that I've pointed out at the nomination page. Also, why does your sign link to the talkpage of <url>?"
Wikipedia,15,615,511695,Hi. Is there no chance that you could take a photograph of RCMP officers in the uniform we don't have a picture of?,Hi. Is there no chance that you could take a photograph of RCMP officers in the uniform we don't have a picture of?
Wikipedia,16,616,625700,"Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have &lt;url&gt; yet?","Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have <url> yet?"
Wikipedia,17,617,221519,"&lt;url&gt; posted a wonderful grammatical analysis of the ""has/had"" thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?","<url> posted a wonderful grammatical analysis of the ""has/had"" thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?"
Wikipedia,18,618,542856,"Hi, congrats on your admin promotion, but in preparing the short note about it for ''The Signpost'', I'm puzzled as to ""the backlog"", which appeared in your Request for Adminship text. Is it a copyright backlog for images?","Hi, congrats on your admin promotion, but in preparing the short note about it for ''The Signpost'', I'm puzzled as to ""the backlog"", which appeared in your Request for Adminship text. Is it a copyright backlog for images?"
Wikipedia,19,619,247167,Replied there. Should we keep it in that one place for now?,Replied there. Should we keep it in that one place for now?
Wikipedia,20,620,319083,"I am sorry you ""don't like &lt;url&gt; tone"", but I have made scrupulous efforts to be entirely civil. Your opinion of my tone apart, would you care to respond to my points?","I am sorry you ""don't like <url> tone"", but I have made scrupulous efforts to be entirely civil. Your opinion of my tone apart, would you care to respond to my points?"
Wikipedia,21,621,8289,Leon Liebgold played a rabbi. Was he a rabbi?,Leon Liebgold played a rabbi. Was he a rabbi?
Wikipedia,22,622,38100,"This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??","This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??"
Wikipedia,23,623,46143,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?","Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?"
Wikipedia,24,624,545256,Indeed. How did you find this?,Indeed. How did you find this?
Wikipedia,25,625,322965,I objected because the image is replaceable. Why can't someone take a picture of it and release it freely?,I objected because the image is replaceable. Why can't someone take a picture of it and release it freely?
Wikipedia,26,626,560944,"Re: your comment at &lt;url&gt;, I suppose you know there's a list at &lt;url&gt;?","Re: your comment at <url>, I suppose you know there's a list at <url>?"
Wikipedia,27,627,246622,Also I noticed you made new Europe and USA maps for this and &lt;url&gt;. Do you think it would be good to have a world map for &lt;url&gt;?,Also I noticed you made new Europe and USA maps for this and <url>. Do you think it would be good to have a world map for <url>?
Wikipedia,28,628,79427,"Despite our long-standing disagreement, I have no argument with you &lt;url&gt;. However, can I suggest you use a less opaque edit summary than ''added info'' when doing something that is nonetheless controversial?","Despite our long-standing disagreement, I have no argument with you <url>. However, can I suggest you use a less opaque edit summary than ''added info'' when doing something that is nonetheless controversial?"
Wikipedia,29,629,626004,"Well, that was an example as I am adding Infobox Historical American Political Party infobox to all those historical parties in &lt;url&gt; for which I was previously using the regular Infobox American Political Party until I found the Historical version in &lt;url&gt;. So if I wish to continue, I will have to assign colors and shortname to all of them if not already done (like Anti-Masonic Party) right?","Well, that was an example as I am adding Infobox Historical American Political Party infobox to all those historical parties in <url> for which I was previously using the regular Infobox American Political Party until I found the Historical version in <url>. So if I wish to continue, I will have to assign colors and shortname to all of them if not already done (like Anti-Masonic Party) right?"
Wikipedia,30,630,170028,An Request for Comment on the spelling of Spitsbergen (or is it ''Spitzbergen'') is currently taking place &lt;url&gt;. Possibly worth mentioning in the Signpost?,An Request for Comment on the spelling of Spitsbergen (or is it ''Spitzbergen'') is currently taking place <url>. Possibly worth mentioning in the Signpost?
Wikipedia,31,631,330396,I saw you assess this with a &lt;name&gt; What am I missing?,"I saw you assess this with a <name>, What am I missing?"
Wikipedia,32,632,548138,"Of that &lt;url&gt; I just went down and overhauled, you and two &lt;url&gt; &lt;url&gt; were the only (active) Texans I could imagine being interested in getting the ball for a &lt;url&gt; rolling. Interested?","Of that <url> I just went down and overhauled, you and two <url> <url> were the only (active) Texans I could imagine being interested in getting the ball for a <url> rolling. Interested?"
Wikipedia,33,633,511283,There's a lot of unfilled requests to become a verified user at WP:OP. Could you possibly look through them?,There's a lot of unfilled requests to become a verified user at WP:OP. Could you possibly look through them?
Wikipedia,34,634,620932,"This article was recently submitted for &lt;url&gt; but it appears to be missing a reference to ""James"". Could you fix that please?","This article was recently submitted for <url> but it appears to be missing a reference to ""James"". Could you fix that please?"
Wikipedia,35,635,471305,&lt;url&gt; is basically ready for Featured Article candidates pending some copy edits. Could you take a look to see if anything additional needs to be done?,<url> is basically ready for Featured Article candidates pending some copy edits. Could you take a look to see if anything additional needs to be done?
Wikipedia,36,636,112808,Hey. I'm proposing a &lt;url&gt; - would you be interested in coming along?,Hey. I'm proposing a <url> - would you be interested in coming along?
Wikipedia,37,637,52605,I don't understand why did you add that message at the bottom of this page??,I don't understand why did you add that message at the bottom of this page??
Wikipedia,38,638,461537,"In conclusion, I'm split. What do you think?","In conclusion, I'm split. What do you think?"
Wikipedia,39,639,469915,The above username has been indefinitely banned as a phishing account. Now why would they want my login details...?,The above username has been indefinitely banned as a phishing account. Now why would they want my login details...?
Wikipedia,40,640,621292,Thanks for identifying it as self created. What license do you release it under?,Thanks for identifying it as self created. What license do you release it under?
Wikipedia,41,641,351597,"Can you explain what you mean by ''""Randi, paranormal, Larry King etc. are all redundant redundant""''?","Can you explain what you mean by ''""Randi, paranormal, Larry King etc. are all redundant redundant""''?"
Wikipedia,42,642,620521,"Hi &lt;name&gt; , Since several reviews have been done, can you review the version from the same date? 1 July 2010?","Hi <name>, Since several reviews have been done, can you review the version from the same date? 1 July 2010?"
Wikipedia,43,643,622232,"Okay, fair enough. But if they're necessary, could we find a less complex and eyeglazing ''name'' for them?","Okay, fair enough. But if they're necessary, could we find a less complex and eyeglazing ''name'' for them?"
Wikipedia,44,644,606020,You haven't contributed in over 10 days now. You alright?,You haven't contributed in over 10 days now. You alright?
Wikipedia,45,645,157940,What is the source of this image? and why do you think it's PD?,What is the source of this image? and why do you think it's PD?
Wikipedia,46,646,628846,"In fact you did link, and the user has archived the page and gotten rid of it. Do you know which section he should be looking for?","In fact you did link, and the user has archived the page and gotten rid of it. Do you know which section he should be looking for?"
Wikipedia,47,647,204605,"Can you respond to the comments I left on the S&M PR page please. If you are satisfied with the changes, can you tell me if it is qualifiable for FAN and if not for FAN, then for A class status?","Can you respond to the comments I left on the S&M PR page please. If you are satisfied with the changes, can you tell me if it is qualifiable for FAN and if not for FAN, then for A class status?"
Wikipedia,48,648,376038,Could possibly be. Have you tagged any of the non-free images for review?,Could possibly be. Have you tagged any of the non-free images for review?
Wikipedia,49,649,57748,How are recognizing and not recognising defined in this context? The country has explicitly and officially stated that they do or do not recognise the State of Palestine?,How are recognizing and not recognising defined in this context? The country has explicitly and officially stated that they do or do not recognise the State of Palestine?
Wikipedia,50,650,620012,"Read beyond the obvious. What is that essay saying when you remove all referances to users under blocks, bans or other sanctions?","Read beyond the obvious. What is that essay saying when you remove all referances to users under blocks, bans or other sanctions?"
Wikipedia,51,651,621746,"From my sources it seems that the Duke of York didn't have any radar when completed, but during her numerous refits different radar sets were added. So shall I list all the radar added from her refits?","From my sources it seems that the Duke of York didn't have any radar when completed, but during her numerous refits different radar sets were added. So shall I list all the radar added from her refits?"
Wikipedia,52,652,291777,"All right, I'll bite. Is honorary membership in the Justice League not criteria enough for being listed in that category?","All right, I'll bite. Is honorary membership in the Justice League not criteria enough for being listed in that category?"
Wikipedia,53,653,493501,Moved. would you like me to nominate you for adminship?,Moved. would you like me to nominate you for adminship?
Wikipedia,54,654,66549,"re: &lt;url&gt; edit. Then let me ask you, what exactly was offensive about them?","re: <url> edit. Then let me ask you, what exactly was offensive about them?"
Wikipedia,55,655,482914,I see you deleted this page a while back as an attack page. Any chance that the information originally had anything to do with the John Lamb mentioned in &lt;url&gt;?,I see you deleted this page a while back as an attack page. Any chance that the information originally had anything to do with the John Lamb mentioned in <url>?
Wikipedia,56,656,542059,You've completely lost me. What are you asking about?,You've completely lost me. What are you asking about?
Wikipedia,57,657,620507,Personal attacks and refusing to answer questions. What are you hiding?,Personal attacks and refusing to answer questions. What are you hiding?
Wikipedia,58,658,226224,"The block seems to no longer be necessary or productive. If I were to bring a motion to get them unblocked, would you support it?","The block seems to no longer be necessary or productive. If I were to bring a motion to get them unblocked, would you support it?"
Wikipedia,59,659,541234,What's up with all those tweaky changes? Just salting redirects?,What's up with all those tweaky changes? Just salting redirects?
Wikipedia,60,660,526013,Thanks for continuing to look over the article. Do you know or do you know anyone that knows anything about the &lt;url&gt; or the &lt;url&gt;?,Thanks for continuing to look over the article. Do you know or do you know anyone that knows anything about the <url> or the <url>?
Wikipedia,61,661,418733,Could you please clarify who the new users were exactly that you considered to be part of your 'sock farm'? Or did you not even bother to research before making such claims?,Could you please clarify who the new users were exactly that you considered to be part of your 'sock farm'? Or did you not even bother to research before making such claims?
Wikipedia,62,662,431827,"The Romance language article is about 199,000 bytes now, while it had around 94,000 bytes before he started adding and changing stuff. Isn't it necessary to discuss first such radical changes?","The Romance language article is about 199,000 bytes now, while it had around 94,000 bytes before he started adding and changing stuff. Isn't it necessary to discuss first such radical changes?"
Wikipedia,63,663,75787,"Im interested in where you got the information you added stating woodlands house was closed in 2003. As far as i can see your wording was taken from one website, the milesfaster one. Should you not cite the website you quoted rather than look for a couple of others?","Im interested in where you got the information you added stating woodlands house was closed in 2003. As far as i can see your wording was taken from one website, the milesfaster one. Should you not cite the website you quoted rather than look for a couple of others?"
Wikipedia,64,664,626932,"Crimson, there is a discussion at &lt;url&gt; where we have implemented a new template for bot operators when their bot is blocked stating that it is in ''no way'' an indication or accusation of wrong doing on the operator's behalf. I'm sorry you have interpreted that way - would you be willing to re-consider your retirement?","Crimson, there is a discussion at <url> where we have implemented a new template for bot operators when their bot is blocked stating that it is in ''no way'' an indication or accusation of wrong doing on the operator's behalf. I'm sorry you have interpreted that way - would you be willing to re-consider your retirement?"
Wikipedia,65,665,43100,I guess there's a connection to &lt;url&gt; too. Do you think that's cu worthy?,I guess there's a connection to <url> too. Do you think that's cu worthy?
Wikipedia,66,666,607907,"I found &lt;url&gt; on your &lt;url&gt; as a bluelink, but in fact it is a redirect to &lt;url&gt;. Is there any chance to do some qeue-jumping on this article, or would it be easier to translate from &lt;url&gt;?","I found <url> on your <url> as a bluelink, but in fact it is a redirect to <url>. Is there any chance to do some qeue-jumping on this article, or would it be easier to translate from <url>?"
Wikipedia,67,667,377951,"Looks like you've been a bit inactive lately, but on the off-chance you check in soon, take a look at &lt;url&gt; and &lt;url&gt;. You're probably the most familiar with CoM's style and brand of hostility, do you think Freakshownerd here is his sock?","Looks like you've been a bit inactive lately, but on the off-chance you check in soon, take a look at <url> and <url>. You're probably the most familiar with CoM's style and brand of hostility, do you think Freakshownerd here is his sock?"
Wikipedia,68,668,368034,"I began to make an article for &lt;url&gt; but found that one already existed but was deleted. After reading the deletion log and seeing that it was speedy deleted for a7, I think I can write an article that establishes notability, but am I required to get administration approval before recreating a deleted article or can I just create it on my own?","I began to make an article for <url> but found that one already existed but was deleted. After reading the deletion log and seeing that it was speedy deleted for a7, I think I can write an article that establishes notability, but am I required to get administration approval before recreating a deleted article or can I just create it on my own?"
