Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,AVERAGE_SCORES,AVERAGE_EN,AVERAGE_CH
1,448758,Answered at <url>. Maybe you are not familiar with the expression?#,-10,,,,,-3,,,,-3,,,,,-7,,,,3,,,,1,,,,,,,-1,,,,,0,,,1,,2,,,,,,-2,,,,,0,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0.777777778,0.677419355,0.913043478
2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?#",-7,,,,,-4,,,,-6,,,,,0,,,,5,,,,0,,,,,,,0,,,,,0,,,,,4,,,,,,0,,,,,4,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888889,0.806451613,1
3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?#,-12,,,,,-2,,,,-7,,,,,-10,,,,-7,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-1,,,,,,-2,,,,,6,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0.592592593,0.548387097,0.652173913
4,350825,"'Images with iconic status or historical importance: As subjects of commentary.''. Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?#",-12,,,,,-8,,,,-12,,,,,-12,,,,-6,,,,-5,,,,,,,-5,,,,,-2,,,1,,-3,,,,,,-2,,,,,-2,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,0.592592593,0.548387097,0.652173913
5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?#",-11,,,,,-6,,,,-3,,,,,-4,,,,7,,,,3,,,,,,,3,,,,,8,,,0,,0,,,,,,5,,,,,5,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.851851852,0.741935484,1
6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?#",7,,,,,8,,,,3,,,,,8,,,,10,,,,5,,,,,,,6,,,,,8,,,12,,7,,,,,,11,,,,,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,297566,What is a wall these days? 10 sentences?#,0,,,,,-10,,,,-1,,,,,-11,,,,0,,,,0,,,,,,,0,,,,,-2,,,,,0,,,,,,-1,,,,,3,,,,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0.814814815,0.806451613,0.826086957
8,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?#",4,,,,,1,,,,0,,,,,2,,,,0,,,,1,,,,,,,3,,,,,6,,,2,,1,,,,,,0,,,,,6,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?#",-12,,,,,-1,,,,-12,,,,,-12,,,,-6,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-3,,,,,,-4,,,,,4,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0.592592593,0.548387097,0.652173913
10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?#",9,,,,,10,,,,2,,,,,12,,,,8,,,,4,,,,,,,6,,,,,0,,,12,,6,,,,,,3,,,,,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,521809,Is this okay? Or OTT?#,,,,-2,,,-3,,,,8,,,,,,,2,,,,,,0,5,,,,,,,,,,,,,-3,0,,,,,,0,,,,,,,,,,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888889,0.870967742,0.913043478
