Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_10,EN_20,EN_30,EN_40,EN_50,EN_60,EN_70,EN_80,EN_90,EN_100,EN_110,EN_120,EN_130,EN_140,EN_150,EN_160,EN_170,EN_180,EN_190,EN_200,EN_210,EN_220,EN_230,EN_240,EN_250,EN_260,EN_270,EN_280,EN_290,EN_300,EN_310,EN_320,EN_330,EN_340,EN_350,CH_10,CH_20,CH_30,CH_40,CH_50,CH_60,CH_70,CH_80,CH_90,CH_100,CH_110,CH_120,CH_130,CH_140,CH_150,CH_160,CH_170,CH_180,CH_190,CH_200,CH_210,CH_220,CH_230,CH_240,CH_250,CH_260,CH_270,CH_280,CH_290,CH_300,CH_310,CH_320,CH_330,EN100,EN200,EN300,EN400,EN500,EN600,EN700,EN800,EN900,EN1000,EN1100,EN1200,EN1300,EN1400,EN1500,EN1600,EN1700,EN1800,EN1900,EN2000,EN2100,EN2200,EN2300,EN2400,CH100,CH200,CH300,CH400,CH500,CH600,CH700,CH800,CH900,CH1000,CH1100,CH1200,CH1300,CH1400,CH1500,CH1600,CH1700,CH1800,CH1900,CH2000,CH2100,CH2200,CH2300,CH2400,CH2500,CH2600,CH2700
1,448758,Answered at <url>. Maybe you are not familiar with the expression?#,-10,,,,,-3,,,,-3,,,,,-7,,,,3,,,,1,,,,,,,-1,,,,,0,,,1,,2,,,,,,-2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?#",-7,,,,,-4,,,,-6,,,,,0,,,,5,,,,0,,,,,,,0,,,,,0,,,,,4,,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?#,-12,,,,,-2,,,,-7,,,,,-10,,,,-7,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-1,,,,,,-2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,350825,"'Images with iconic status or historical importance: As subjects of commentary.''. Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?#",-12,,,,,-8,,,,-12,,,,,-12,,,,-6,,,,-5,,,,,,,-5,,,,,-2,,,1,,-3,,,,,,-2,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?#",-11,,,,,-6,,,,-3,,,,,-4,,,,7,,,,3,,,,,,,3,,,,,8,,,0,,0,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?#",7,,,,,8,,,,3,,,,,8,,,,10,,,,5,,,,,,,6,,,,,8,,,12,,7,,,,,,11,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,297566,What is a wall these days? 10 sentences?#,0,,,,,-10,,,,-1,,,,,-11,,,,0,,,,0,,,,,,,0,,,,,-2,,,,,0,,,,,,-1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?#",4,,,,,1,,,,0,,,,,2,,,,0,,,,1,,,,,,,3,,,,,6,,,2,,1,,,,,,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?#",-12,,,,,-1,,,,-12,,,,,-12,,,,-6,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-3,,,,,,-4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?#",9,,,,,10,,,,2,,,,,12,,,,8,,,,4,,,,,,,6,,,,,0,,,12,,6,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,521809,Is this okay? Or OTT?#,,,,-2,,,-3,,,,8,,,,,,,2,,,,,,0,5,,,,,,,,,,,,,-3,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?#",3,,,-4,,,-5,,,,3,,,,,,,2,,,,,,-4,3,,,,,,,,,,,,,-6,0,,,,,,0,,7,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?#",1,,,-2,,,-1,,,,-3,,,,,,,0,,,,,,3,0,,,,,,,,,,,,,-3,0,,,,,,-3,,-1,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?#",-3,,,-6,,,-2,,,,-4,,,,,,,-4,,,,,,2,-1,,,,,,,,,,,,,-3,0,,,,,,-1,,-8,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?#",-12,,,-11,,,-12,,,,-10,,,,,,,-10,,,,,,-1,-7,,,,,,,,,,,,,-10,-5,,,,,,,,-11,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?#,5,,,6,,,2,,,,8,,,,,,,6,,,,,,3,6,,,,,,,,,,,,,-3,0,,,,,,0,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,488272,Nothing messed up from where I'm sitting. What kind of messed up?#,5,,,3,,,-5,,,,-3,,,,,,,0,,,,,,3,-6,,,,,,,,,,,,,0,0,,,,,,-3,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?#",4,,,-3,,,0,,,,7,,,,,,,2,,,,,,2,3,,,,,,,,,,,,,0,-1,,,,,,-3,,-6,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?#",5,,,-1,,,1,,,,0,,,,,,,-1,,,,,,2,1,,,,,,,,,,,,,6,2,,,,,,0,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,622922,That is weird. What happens if you create Usor:Rolandus?#,7,,,0,,,0,,,,4,,,,,,,-1,,,,,,1,-2,,,,,,,,,,,,,3,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?#,12,,,,,,7,,,4,,,,4,,,,-1,,,,-6,,,,3,,3,1,,,-9,,,,,,,,-6,,-8,,,,2,,,,,-5,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?#",12,,,,,,8,,,9,,,,6,,,,5,,,,4,,,,3,,6,6,,,12,,,,,,,,6,,12,,,,6,,,,,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?#,5,,,,,,1,,,0,,,,0,,,,0,,,,0,,,,4,,6,3,,,0,,,,,,,,0,,0,,,,2,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?#,0,,,,,,6,,,1,,,,-3,,,,0,,,,,,,,2,,5,4,,,10,,,,,,,,6,,6,,,,4,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?#",7,,,,,,4,,,-1,,,,0,,,,0,,,,0,,,,1,,3,5,,,9,,,,,,,,7,,-6,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,623298,"As another aside, they are mostly Germans. What's up with that?#",-9,,,,,,-7,,,-5,,,,1,,,,-3,,,,0,,,,8,,-4,-3,,,-6,,,,,,,,0,,-3,,,,0,,,,,-2,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?#,-6,,,,,,5,,,4,,,,3,,,,0,,,,0,,,,0,,3,2,,,0,,,,,,,,3,,3,,,,2,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?#,5,,,,,,1,,,0,,,,0,,,,-3,,,,,,,,4,,-1,0,,,-3,,,,,,,,-3,,-9,,,,0,,,,,-10,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?#",2,,,,,,2,,,2,,,,1,,,,-2,,,,0,,,,-5,,-1,3,,,-3,,,,,,,,-5,,-8,,,,2,,,,,-10,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,629684,Out of curiosity what are you testing? How are things going?#,5,,,,,,9,,,2,,,,1,,,,6,,,,8,,,,7,,3,8,,,9,,,,,,,,0,,-3,,,,3,,,,,-10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?#",6,,,,,3,,6,,1,,,,2,,0,,,,,3,,,,2,,,,,0,,,,1,,,,,,8,,3,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?#",12,,,,,9,,12,,8,,,,3,,0,,,,,9,,,,11,,,,,9,,,,6,,,,,,7,,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,264394,Would you like to elaborate? How are you empowering me exactly?#,-12,,,,,-5,,3,,-4,,,,-5,,0,,,,,4,,,,-1,,,,,6,,,,3,,,,,,8,,2,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?#",11,,,,,2,,10,,1,,,,3,,0,,,,,4,,,,1,,,,,3,,,,6,,,,,,8,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?#",-2,,,,,-2,,7,,-2,,,,4,,1,,,,,3,,,,-1,,,,,9,,,,8,,,,,,8,,6,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
