Community,,Num,Id,Id,Request,Request,Batch,,,,,,,,,
Wikipedia,1,460261,"My edit on &lt;url&gt; was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?","My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",14,15,16,5,17,AYG3MF094634L,AO5E3LWBYM72K,ARYGQ46IMW8AU,A3CFNUD7VR2E1E,A34ZSF2JSRXIRP,-0.233122612,TRUE
Wikipedia,2,625706,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?","Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",17,16,16,16,9,A233ONYNWKDIYF,A38WUWONC7EXTO,A1CIIX0CB0GR7H,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.187951902,TRUE
Wikipedia,3,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?","What you linked to looks good, but what was I supposed to compare it with again? Got a link?",9,13,19,16,9,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A3GOI327COFGY5,-0.114050603,TRUE
Wikipedia,4,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move &lt;url&gt; to &lt;url&gt; as well?","Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",21,21,21,21,21,A233ONYNWKDIYF,APDWVWS2HMSFD,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,1.538699433,TRUE
Wikipedia,5,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?","My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",13,9,21,21,19,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,0.635085441,TRUE
Wikipedia,6,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the &lt;url&gt; article. Do you have any source that supports this?","Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",13,17,13,13,15,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A29B522D0BX6HN,AIPK94CUWL45W,0.108064555,TRUE
Wikipedia,7,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?","You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",9,13,9,17,9,A233ONYNWKDIYF,APDWVWS2HMSFD,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A3IHLWMZNBLUR4,-0.606565687,TRUE
Wikipedia,8,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?","Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",21,13,21,25,19,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,1.436016057,TRUE
Wikipedia,9,581772,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?","The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",9,5,13,5,9,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,ANS7S6PUWTLF7,-1.094270792,TRUE
Wikipedia,10,153809,That user &lt;url&gt; moved &lt;url&gt; page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,9,9,13,13,9,A3I83CQLOZRO79,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28ZB4ZB13BWAI,AIPK94CUWL45W,-0.811539898,TRUE
Wikipedia,11,237529,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?","Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",17,11,9,13,13,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A00613921OIEGJA322163,AIPK94CUWL45W,A19ZT0TQPFA2,-0.616034628,TRUE
Wikipedia,12,553125,"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?","I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",17,9,11,11,5,A16PRU8T6NZLN5,A233ONYNWKDIYF,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,-0.952875762,TRUE
Wikipedia,13,407369,"I replied... also, are you watching that page? If so, I will stop bothering you here?","I replied... also, are you watching that page? If so, I will stop bothering you here?",13,8,17,14,7,A22SZHZTF72TRM,A6YO9886DY2SC,A2GSW5RBAT5LQ5,AYG3MF094634L,AHH34KPTA2LSS,-0.243455407,TRUE
Wikipedia,14,507499,"&lt;url&gt; is telling me that your talk page and &lt;url&gt; supposedly both link there, but I can't find them for the life of me. Any ideas?","<url> is telling me that your talk page and <url> supposedly both link there, but I can't find them for the life of me. Any ideas?",13,16,15,10,13,A233ONYNWKDIYF,A6YO9886DY2SC,AYG3MF094634L,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.012150263,TRUE
Wikipedia,15,394295,I am not sure why &lt;url&gt; is not just in the article &lt;url&gt; as a straight table. Is there some chance the template might be used on another article?,I am not sure why <url> is not just in the article <url> as a straight table. Is there some chance the template might be used on another article?,17,17,13,13,13,A16PRU8T6NZLN5,A2UFD1I8ZO1V4G,A2UBXHCHM2I6IL,A37ADCYLCSB5O2,A13CO3B2BRXQLZ,-0.050795741,TRUE
Wikipedia,16,109287,"You are so right, &lt;url&gt; looks to be blatant advertising. Why don't you put it up for &lt;url&gt;?","You are so right, <url> looks to be blatant advertising. Why don't you put it up for <url>?",9,17,13,13,15,AD317NO9623GZ,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A28ZB4ZB13BWAI,A29B522D0BX6HN,0.027899153,TRUE
Wikipedia,17,625066,Oosterman is hardly the world's foremost expert on Hyper-Calvinism. Can you cite any scholars or experts who support your thesis?,Oosterman is hardly the world's foremost expert on Hyper-Calvinism. Can you cite any scholars or experts who support your thesis?,17,5,5,18,13,A233ONYNWKDIYF,A1JMINVUZ2AOZR,A3CA5S8GR8TZ1U,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,-0.407145505,TRUE
