Community,,Num,Id,Request,Type,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33
Wikipedia,1,301,460261,"My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",Rating,3,,,,2,,,,2,,,1,,,6,4,,,,7,,-5,,,,4,,1,,,,,,,0,5,,,,,0,,2,,,,3,,,,,,,3,4,,,,,,-1,,-2,,,,,0
Wikipedia,1,301,460261,"My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",Highlight,"7: by,8: me,,9: not,14: Out,15: of,16: curiousity,",,,,"14: Out,15: of,16: curiousity,",,,,"14: Out,15: of,16: curiousity,",,,"14: Out,15: of,16: curiousity,",,,"14: Out,15: of,16: curiousity,","14: Out,15: of,16: curiousity,",,,,"14: Out,15: of,16: curiousity,",,"5: was,6: written,7: by,8: me,,9: not,10: copied,11: from,12: a,13: forum.",,,,"14: Out,15: of,16: curiousity,,17: which,18: forum,19: copied,20: my,21: post,22: on,23: Wikipedia?",,"14: Out,15: of,16: curiousity,",,,,,,,"14: Out,15: of,16: curiousity,","16: curiousity,,19: copied",,,,,"14: Out,15: of,16: curiousity,",,"17: which,18: forum,19: copied,20: my,21: post,22: on,23: Wikipedia?",,,,"14: Out,15: of,16: curiousity,",,,,,,,"17: which,18: forum,19: copied","1: My,2: edit,3: on,4: <url>,5: was,6: written,7: by,8: me,,9: not,10: copied,11: from,12: a,13: forum.,14: Out,15: of,16: curiousity,",,,,,,"14: Out,15: of,16: curiousity,",,"14: Out,15: of,16: curiousity,,17: which",,,,,"17: which,18: forum,19: copied,20: my,21: post,22: on,23: Wikipedia?"
Wikipedia,2,302,625706,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",Rating,-6,,,,2,,,,-1,,,5,,,6,2,,,,5,,-7,,,,-3,,-6,,,,,,,-4,8,,,,,-6,,2,,,,1,,,,,,,2,4,,,,,,1,,1,,,,,1
Wikipedia,2,302,625706,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",Highlight,"1: Hi,,17: Please...,18: comment?",,,,17: Please...,,,,"17: Please...,18: comment?",,,17: Please...,,,"1: Hi,,17: Please...,18: comment?",17: Please...,,,,"1: Hi,,17: Please...",,"17: Please...,18: comment?",,,,"17: Please...,18: comment?",,"17: Please...,18: comment?",,,,,,,"17: Please...,18: comment?","5: comment,6: on,7: the,8: image,9: page,10: about,11: this,12: being,13: different,14: than,15: Sbarro3,16: image.",,,,,17: Please...,,"17: Please...,18: comment?",,,,"1: Hi,,17: Please...",,,,,,,"2: I,3: made,4: on","16: image.,17: Please...,18: comment?",,,,,,"1: Hi,,17: Please...",,"1: Hi,,17: Please...",,,,,"17: Please...,18: comment?"
Wikipedia,3,303,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",Rating,3,,,,2,,,,1,,,4,,,6,0,,,,6,,-3,,,,-1,,10,,,,,,,-3,6,,,,,0,,-2,,,,-2,,,,,,,3,1,,,,,,-1,,-1,,,,,0
Wikipedia,3,303,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",Highlight,"7: but,8: what,9: was,10: I,11: supposed,12: to,16: again?,17: Got,18: a,19: link?",,,,"5: looks,6: good,",,,,"2: you,3: linked,4: to,5: looks,6: good,,8: what,9: was,10: I,11: supposed,12: to",,,"5: looks,6: good,,17: Got,18: a,19: link?",,,"5: looks,6: good,","1: What,2: you,3: linked,4: to,5: looks",,,,"7: but,8: what,9: was,17: Got,18: a,19: link?",,"17: Got,18: a,19: link?",,,,"17: Got,18: a,19: link?",,"1: What,2: you,3: linked,4: to,5: looks,6: good,",,,,,,,"7: but,8: what,17: Got,18: a,19: link?","5: looks,6: good,,7: but,8: what,9: was,10: I,11: supposed,12: to,13: compare,14: it,15: with,16: again?",,,,,11: supposed,,"8: what,9: was,10: I,11: supposed,12: to,13: compare,14: it,15: with,16: again?,17: Got,18: a,19: link?",,,,"8: what,9: was,10: I,11: supposed,12: to",,,,,,,"8: what,9: was,10: I,11: supposed","8: what,9: was,10: I,11: supposed",,,,,,"1: What,17: Got",,17: Got,,,,,"17: Got,18: a,19: link?"
Wikipedia,4,304,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",Rating,6,,,,4,,,,4,,,5,,,11,4,,,,6,,1,,,,3,,11,,,,,,,3,6,,,,,10,,10,,,,5,,,,,,,3,5,,,,,,1,,3,,,,,12
Wikipedia,4,304,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",Highlight,"1: Hi,,2: thanks,10: Could,11: you,17: well?",,,,2: thanks,,,,"1: Hi,,2: thanks,16: as,17: well?",,,"1: Hi,,2: thanks",,,"1: Hi,,2: thanks,10: Could,11: you,12: move",2: thanks,,,,"1: Hi,,2: thanks,10: Could,11: you,16: as,17: well?",,"2: thanks,10: Could,11: you,12: move",,,,"2: thanks,3: for,4: moving,5: three,6: of,7: the,8: Brussels,9: municipalities.",,"1: Hi,,2: thanks,3: for,4: moving",,,,,,,2: thanks,"8: Brussels,9: municipalities.",,,,,"1: Hi,,2: thanks,10: Could",,"2: thanks,10: Could,11: you,16: as,17: well?",,,,"1: Hi,,2: thanks,3: for,10: Could,11: you",,,,,,,"2: thanks,3: for,10: Could,11: you,12: move","1: Hi,,3: for",,,,,,"1: Hi,,2: thanks,10: Could,16: as,17: well?",,"1: Hi,,2: thanks,10: Could",,,,,"2: thanks,10: Could,11: you"
Wikipedia,5,305,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",Rating,-3,,,,2,,,,1,,,2,,,6,0,,,,1,,2,,,,2,,0,,,,,,,-2,1,,,,,-9,,-1,,,,-1,,,,,,,3,-2,,,,,,-1,,0,,,,,-8
Wikipedia,5,305,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",Highlight,"1: My,2: question,3: is,4: ""Why?"",5: I,6: am,7: doing,8: all,14: still,15: appears,16: often.,21: what,22: I'm,23: doing,24: wrong?",,,,"17: Can,18: anyone,19: tell,20: me,21: what",,,,"4: ""Why?"",17: Can,18: anyone,19: tell,20: me,21: what,22: I'm,23: doing,24: wrong?",,,"17: Can,18: anyone,19: tell,20: me",,,17: Can,"4: ""Why?""",,,,"4: ""Why?"",17: Can,18: anyone",,"17: Can,18: anyone,19: tell,20: me",,,,"17: Can,18: anyone,19: tell,20: me,21: what,22: I'm,23: doing",,"1: My,2: question,3: is,4: ""Why?""",,,,,,,"1: My,2: question,3: is,4: ""Why?"",17: Can,18: anyone","10: citations,11: correctly",,,,,"4: ""Why?"",17: Can,21: what,22: I'm,23: doing,24: wrong?",,"1: My,2: question,3: is,4: ""Why?"",17: Can,18: anyone,19: tell,20: me",,,,"1: My,2: question,3: is,4: ""Why?"",8: all,11: correctly,14: still,16: often.,17: Can",,,,,,,"17: Can,18: anyone,19: tell,20: me","17: Can,18: anyone,19: tell,20: me,21: what",,,,,,"4: ""Why?"",17: Can",,17: Can,,,,,"4: ""Why?"",5: I,6: am,7: doing,8: all,9: the,10: citations,11: correctly,12: and,13: this,14: still,15: appears,16: often.,17: Can,18: anyone,19: tell"
Wikipedia,6,306,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",Rating,3,,,,0,,,,2,,,1,,,5,0,,,,7,,4,,,,6,,-10,,,,,,,0,4,,,,,2,,8,,,,1,,,,,,,4,5,,,,,,-1,,0,,,,,1
Wikipedia,6,306,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",Highlight,"1: Hi,,2: you,4: edited,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,,,"20: Do,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,,,"1: Hi,,20: Do,21: you,22: have,23: any",,,"1: Hi,",,,"1: Hi,,20: Do,21: you",26: supports,,,,"1: Hi,,23: any",,"20: Do,21: you,22: have,23: any,24: source,25: that,26: supports",,,,"1: Hi,,2: you,3: recently,4: edited,5: that,6: the,7: Independence,8: Hall,9: was,10: once,11: the,12: tallest,13: building,14: in,15: Philadelphia,16: on,17: the,18: &lt;url&gt;,19: article.,20: Do,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,"20: Do,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,,,,,,"21: you,22: have,23: any,24: source,25: that,26: supports,27: this?","7: Independence,8: Hall,15: Philadelphia",,,,,"1: Hi,",,"20: Do,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,,,"1: Hi,",,,,,,,"22: have,23: any,24: source","20: Do,21: you,22: have,23: any,24: source,25: that,26: supports,27: this?",,,,,,"1: Hi,,20: Do",,20: Do,,,,,"1: Hi,,20: Do,21: you"
Wikipedia,7,307,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",Rating,-3,,,,-1,,,,-1,,,-1,,,-6,-4,,,,3,,-7,,,,-2,,-9,,,,,,,-2,7,,,,,-8,,3,,,,1,,,,,,,3,-8,,,,,,-3,,0,,,,,-8
Wikipedia,7,307,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",Highlight,"1: You,2: may,3: not,4: remember,7: but,,9: erased,15: Why,16: did,17: you,18: do,19: it?",,,,"1: You,2: may,3: not,4: remember,15: Why,16: did,17: you,18: do,19: it?",,,,"15: Why,16: did,17: you,18: do,19: it?",,,"15: Why,16: did,17: you,18: do,19: it?",,,"1: You,2: may,3: not,4: remember,15: Why,16: did,17: you,18: do,19: it?","8: you,9: erased,10: a,11: page",,,,"1: You,2: may,3: not,4: remember,15: Why,16: did,17: you,18: do,19: it?",,"1: You,2: may,3: not,4: remember,5: doing,6: this,15: Why,16: did,17: you,18: do,19: it?",,,,"13: Earl,14: Newton.,15: Why,16: did,17: you,18: do,19: it?",,"15: Why,16: did,17: you,18: do,19: it?",,,,,,,"15: Why,16: did,17: you,18: do,19: it?","4: remember,5: doing,6: this,7: but,,8: you,9: erased,10: a,11: page,12: entitled,,13: Earl,14: Newton.",,,,,"15: Why,16: did,17: you,18: do,19: it?",,"1: You,2: may,3: not,4: remember,5: doing,15: Why,16: did,17: you,18: do,19: it?",,,,"2: may,3: not,4: remember,15: Why",,,,,,,"15: Why,16: did,17: you,18: do,19: it?","15: Why,16: did,17: you,18: do,19: it?",,,,,,"7: but,,15: Why,16: did,17: you,18: do,19: it?",,"2: may,3: not,15: Why",,,,,"9: erased,15: Why,16: did,17: you,18: do,19: it?"
Wikipedia,8,308,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",Rating,0,,,,-1,,,,1,,,5,,,0,6,,,,-2,,3,,,,4,,-9,,,,,,,3,7,,,,,9,,9,,,,6,,,,,,,3,-7,,,,,,1,,3,,,,,12
Wikipedia,8,308,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",Highlight,"1: Ok.,2: Thank,3: you,6: Could,7: you,8: be,9: more,10: specific,18: ""the,19: claim"",27: to,28: refute?",,,,"18: ""the,19: claim""",,,,"1: Ok.,2: Thank,3: you,8: be,9: more,10: specific,13: what,14: you,15: are,20: so,21: that,22: I",,,"2: Thank,3: you,4: for,5: clarifying.",,,"1: Ok.,2: Thank,3: you,4: for,6: Could,7: you,8: be,9: more,10: specific","2: Thank,3: you",,,,"1: Ok.,2: Thank,3: you,4: for,5: clarifying.,9: more,10: specific,18: ""the,19: claim""",,"2: Thank,3: you,6: Could,7: you,8: be,9: more,10: specific",,,,"2: Thank,3: you,4: for,5: clarifying.",,"18: ""the,19: claim""",,,,,,,"2: Thank,3: you,4: for,5: clarifying.","2: Thank,3: you,6: Could,16: specifying",,,,,"2: Thank,3: you,6: Could",,"1: Ok.,2: Thank,3: you,4: for,5: clarifying.",,,,"2: Thank,3: you,6: Could",,,,,,,"2: Thank,3: you,4: for,5: clarifying.","6: Could,7: you,8: be,9: more,10: specific",,,,,,"2: Thank,6: Could",,"2: Thank,23: may",,,,,"2: Thank,3: you,4: for,5: clarifying.,6: Could,7: you"
Wikipedia,9,309,581772,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",Rating,-3,,,,-2,,,,2,,,-3,,,-2,-5,,,,-3,,1,,,,0,,-1,,,,,,,-3,6,,,,,0,,-5,,,,-7,,,,,,,4,2,,,,,,-1,,0,,,,,0
Wikipedia,9,309,581772,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",Highlight,"8: something,9: like,12: I,13: notice.,14: Think,15: you'll,16: be,17: able,18: to",,,,"10: six,11: weeks,,12: I,13: notice.,14: Think,15: you'll,16: be,17: able",,,,"12: I,13: notice.,14: Think,15: you'll,16: be,17: able,18: to",,,"12: I,13: notice.,14: Think,15: you'll",,,"1: The,2: review,3: has,4: been,5: up,6: there,7: for,8: something,9: like,10: six,11: weeks,,14: Think,15: you'll,16: be,17: able,18: to","8: something,9: like,10: six,11: weeks,",,,,"8: something,9: like,14: Think,15: you'll",,"14: Think,15: you'll,16: be,17: able,18: to,19: take,20: care,21: of,22: those",,,,"1: The,2: review,3: has,4: been,5: up,6: there,7: for,8: something,9: like,10: six,11: weeks,,12: I,13: notice.",,"14: Think,15: you'll,16: be,17: able,18: to,19: take,20: care,21: of,22: those,23: last,24: couple,25: of,26: things?",,,,,,,"3: has,4: been,5: up,6: there,7: for,8: something,9: like,10: six,11: weeks,,14: Think,15: you'll,16: be,17: able,18: to","6: there,7: for,8: something,9: like,10: six,11: weeks,,12: I,13: notice.,14: Think,15: you'll,16: be,17: able,18: to,19: take,20: care,21: of,22: those,23: last,24: couple",,,,,14: Think,,"14: Think,15: you'll,16: be,17: able,18: to,19: take,20: care,21: of,23: last,24: couple",,,,"7: for,8: something,14: Think,15: you'll,16: be,17: able",,,,,,,"14: Think,15: you'll,16: be,17: able,18: to,19: take","14: Think,15: you'll,16: be,17: able,18: to",,,,,,14: Think,,14: Think,,,,,"10: six,11: weeks,,14: Think,15: you'll,16: be,17: able,18: to"
Wikipedia,10,310,153809,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,Rating,-9,,,,-6,,,,-1,,,-6,,,-12,-3,,,,-2,,-10,,,,5,,-12,,,,,,,-6,6,,,,,0,,-2,,,,-2,,,,,,,3,-1,,,,,,-1,,0,,,,,0
