Community,Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21
Wikipedia,1,448758,Answered at <url>. Maybe you are not familiar with the expression?,-10,,,,,-3,,,,-3,,,,,-7,,1,,,3,,,,1,,,,,,,-1,,,,,0,,,1,,2,,,,,,-2,,,,,0
Wikipedia,2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?",-7,,,,,-4,,,,-6,,,,,0,,1,,,5,,,,0,,,,,,,0,,,,,0,,,,,4,,,,,,0,,,,,4
Wikipedia,3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,-12,,,,,-2,,,,-7,,,,,-10,,-10,,,-7,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-1,,,,,,-2,,,,,6
Wikipedia,4,350825,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",-12,,,,,-8,,,,-12,,,,,-12,,-10,,,-6,,,,-5,,,,,,,-5,,,,,-2,,,1,,-3,,,,,,-2,,,,,-2
Wikipedia,5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?",-11,,,,,-6,,,,-3,,,,,-4,,5,,,7,,,,3,,,,,,,3,,,,,8,,,0,,0,,,,,,5,,,,,5
Wikipedia,6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",7,,,,,8,,,,3,,,,,8,,11,,,10,,,,5,,,,,,,6,,,,,8,,,12,,7,,,,,,11,,,,,2
Wikipedia,7,297566,What is a wall these days? 10 sentences?,0,,,,,-10,,,,-1,,,,,-11,,-4,,,0,,,,0,,,,,,,0,,,,,-2,,,,,0,,,,,,-1,,,,,3
Wikipedia,8,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?",4,,,,,1,,,,0,,,,,2,,2,,,0,,,,1,,,,,,,3,,,,,6,,,2,,1,,,,,,0,,,,,6
Wikipedia,9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",-12,,,,,-1,,,,-12,,,,,-12,,-5,,,-6,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-3,,,,,,-4,,,,,4
Wikipedia,10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?",9,,,,,10,,,,2,,,,,12,,11,,,8,,,,4,,,,,,,6,,,,,0,,,12,,6,,,,,,3,,,,,2
Wikipedia,11,521809,Is this okay? Or OTT?,,,,,-2,,,-3,,,,8,,,,,4,,,2,,,,,,0,5,,,,,,,,,,,,,-3,0,,,,,,0,,,,,
Wikipedia,12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?",,3,,,-4,,,-5,,,,3,,,,,4,,,2,,,,,,-4,3,,,,,,,,,,,,,-6,0,,,,,,0,,7,,,
Wikipedia,13,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?",,1,,,-2,,,-1,,,,-3,,,,,2,,,0,,,,,,3,0,,,,,,,,,,,,,-3,0,,,,,,-3,,-1,,,
Wikipedia,14,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",,-3,,,-6,,,-2,,,,-4,,,,,-2,,,-4,,,,,,2,-1,,,,,,,,,,,,,-3,0,,,,,,-1,,-8,,,
Wikipedia,15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",,-12,,,-11,,,-12,,,,-10,,,,,-11,,,-10,,,,,,-1,-7,,,,,,,,,,,,,-10,-5,,,,,,,,-11,,,
Wikipedia,16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?,,5,,,6,,,2,,,,8,,,,,6,,,6,,,,,,3,6,,,,,,,,,,,,,-3,0,,,,,,0,,5,,,
Wikipedia,17,488272,Nothing messed up from where I'm sitting. What kind of messed up?,,5,,,3,,,-5,,,,-3,,,,,-8,,,0,,,,,,3,-6,,,,,,,,,,,,,0,0,,,,,,-3,,-4,,,
