Num,Id,Request,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33,AVERAGE_SCORES,AVERAGE_EN,AVERAGE_CH,BINARY_AVERAGE_EN,BINARY_AVERAGE_CH
301,460261,"My edit on <url> was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",3,,,,2,,,,2,,,1,,,6,4,,,,7,,-5,,,,4,,1,,,,,,,0,5,,,,,0,,2,,,,3,,,,,,,3,4,,,,,,-1,,-2,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0.911764706,0.942857143,0.878787879,1,1
302,625706,"Hi, I made on comment on the image page about this being different than Sbarro3 image. Please... comment?",-6,,,,2,,,,-1,,,5,,,6,2,,,,5,,-7,,,,-3,,-6,,,,,,,-4,8,,,,,-6,,2,,,,1,,,,,,,2,4,,,,,,1,,1,,,,,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.794117647,0.657142857,0.939393939,1,1
303,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",3,,,,2,,,,1,,,4,,,6,0,,,,6,,-3,,,,-1,,10,,,,,,,-3,6,,,,,0,,-2,,,,-2,,,,,,,3,1,,,,,,-1,,-1,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0.794117647,0.828571429,0.757575758,1,1
304,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",6,,,,4,,,,4,,,5,,,11,4,,,,6,,1,,,,3,,11,,,,,,,3,6,,,,,10,,10,,,,5,,,,,,,3,5,,,,,,1,,3,,,,,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
305,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",-3,,,,2,,,,1,,,2,,,6,0,,,,1,,2,,,,2,,0,,,,,,,-2,1,,,,,-9,,-1,,,,-1,,,,,,,3,-2,,,,,,-1,,0,,,,,-8,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,0.764705882,0.885714286,0.636363636,1,1
306,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article. Do you have any source that supports this?",3,,,,0,,,,2,,,1,,,5,0,,,,7,,4,,,,6,,-10,,,,,,,0,4,,,,,2,,8,,,,1,,,,,,,4,5,,,,,,-1,,0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0.941176471,0.942857143,0.939393939,1,1
307,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton. Why did you do it?",-3,,,,-1,,,,-1,,,-1,,,-6,-4,,,,3,,-7,,,,-2,,-9,,,,,,,-2,7,,,,,-8,,3,,,,1,,,,,,,3,-8,,,,,,-3,,0,,,,,-8,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,0.588235294,0.428571429,0.757575758,1,1
308,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",0,,,,-1,,,,1,,,5,,,0,6,,,,-2,,3,,,,4,,-9,,,,,,,3,7,,,,,9,,9,,,,6,,,,,,,3,-7,,,,,,1,,3,,,,,12,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.882352941,0.828571429,0.939393939,1,1
309,581772,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?",-3,,,,-2,,,,2,,,-3,,,-2,-5,,,,-3,,1,,,,0,,-1,,,,,,,-3,6,,,,,0,,-5,,,,-7,,,,,,,4,2,,,,,,-1,,0,,,,,0,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0.676470588,0.542857143,0.818181818,1,1
310,153809,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,-9,,,,-6,,,,-1,,,-6,,,-12,-3,,,,-2,,-10,,,,5,,-12,,,,,,,-6,6,,,,,0,,-2,,,,-2,,,,,,,3,-1,,,,,,-1,,0,,,,,0,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0.588235294,0.428571429,0.757575758,1,1
