Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,AVERAGE,AVERAGE_EN,AVERAGE_CH,BINARY_EN,BINARY_CH
601,218069,Thanks! What type of documentation do you want u2014 an explanation of using the notes feature?,0,,,4,,,,,2,,,,2,,0,,,,12,,,,,,,,,,,8,,-12,,,2,,,,,1,,,,4,,,,2,,3,0,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,-1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,1,1,0.857142857,1,0.75,1,1
602,629241,"I'll unblock you if you give me some confirmation you've understood this and you are prepared to discuss the article through the proper channels, calmly and politely. So, cool down please, okay?",-8,,,-2,,,,,-4,,,,-3,,0,,,,-3,,,,,,,,,,,-11,,-2,,,-6,,,,,-6,,,,-3,,,,2,,0,-8,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,1,blank,1,-1,-0.571428571,-0.666666667,-0.5,-1,-1
603,557162,"I thought you had done that, and started working on turning it into a disambiguation page. Could you now graft the history on to the changes I made?",-5,,,-2,,,,,-4,,,,-2,,0,,,,5,,,,,,,,,,,2,,1,,,-2,,,,,-1,,,,1,,,,2,,3,-12,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,1,blank,1,-1,0,-0.333333333,0.25,-1,1
604,621507,"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?",-3,,,0,,,,,-6,,,,-2,,0,,,,0,,,,,,,,,,,-4,,-4,,,-3,,,,,-1,,,,0,,,,0,,-3,-5,-1,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,1,blank,-1,-1,-0.285714286,0,-0.5,1,-1
605,347553,Thanks for help! One more question: similar item at this address is a painting: <url> Do I use the same tags?,-2,,,4,,,,,4,,,,3,,0,,,,11,,,,,,,,,,,2,,6,,,1,,,,,2,,,,3,,,,3,,2,-1,-1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,1,-1,0.714285714,0.666666667,0.75,1,1
606,488320,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",-7,,,2,,,,,1,,,,0,,0,,,,3,,,,,,,,,,,0,,2,,,-1,,,,,2,,,,-1,,,,2,,-4,5,-1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,1,blank,-1,1,0.428571429,0.666666667,0.25,1,1
607,619476,"Well, as you <name> my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?",-1,,,-6,,,,,-9,,,,-1,,0,,,,-1,,,,,,,,,,,-4,,-4,,,-5,,,,,1,,,,-3,,,,-1,,-6,-5,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,-1,blank,-1,-1,-0.714285714,-0.666666667,-0.75,-1,-1
608,385875,"You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?",-10,,,-2,,,,,0,,,,1,,0,,,,3,,,,,,,,,,,-2,,-3,,,-3,,,,,-2,,,,-1,,,,-2,,-2,-8,-1,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,-1,blank,-1,-1,-0.428571429,0.333333333,-1,1,-1
609,420251,"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",-10,,,-4,,,,,-4,,,,-1,,0,,,,-2,,,,,,,,,,,-6,,-2,,,-5,,,,,-2,,,,-2,,,,-2,,-11,-9,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,-1,blank,-1,-1,-0.857142857,-0.666666667,-1,-1,-1
610,263166,"Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?",0,,,4,,,,,3,,,,3,,0,,,,0,,,,,,,,,,,-1,,9,,,1,,,,,2,,,,4,,,,2,,5,-1,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,1,-1,0.714285714,1,0.5,1,1
