Num,Id,Request#,Label1,Label2,Label3
1,448758,Answered at <url>. Maybe you are not familiar with the expression?#,0,1,1
2,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?#",1,1,1
3,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?#,0,0,0
4,350825,"'Images with iconic status or historical importance: As subjects of commentary.''. Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?#",0,0,0
5,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?#",1,1,1
6,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?#",0,0,0
7,297566,What is a wall these days? 10 sentences?#,0,1,0
8,550560,"I see a "remove protection" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?#"" see a "remove protection" tab on the <url>, which tells an admin that the article is protected. Are you still able to e""see a "remove protection" tab on the <url>, which tells an admin that the article is protected. Are you still ab""ee a "remove protection" tab on the <url>, which tells an admin that the article is protected. Are you st""e a "remove protection" tab on the <url>, which tells an admin that the article is protected. Are y"" a "remove protection" tab on the <url>, which tells an admin that the article is protected. A""a "remove protection" tab on the <url>, which tells an admin that the article is protected"" "remove protection" tab on the <url>, which tells an admin that the article is protect"""remove protection" tab on the <url>, which tells an admin that the article is protec""remove protection" tab on the <url>, which tells an admin that the article is protec""emove protection" tab on the <url>, which tells an admin that the ""move protection" tab on the <url>, which tells an""ove protection" tab on the <url>,""ve protection" tab""e pr",1,1,0
9,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?#",0,0,0
10,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?#",0,0,0
11,521809,Is this okay? Or OTT?#,1,0,1
12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?#",0,0,1
13,206259,"Also, both <url> and <url> wikilink "hiatus", which goes to a disambiguation page. What meaning of the word did you intend?#""lso, both <url> and <url> wikilink "hiatus", which goes to a disambiguation page. What ""so, both <url> and <url> wikilink "hiatus", which g""o, both <url> an",0,1,0
14,394910,"I am puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?#"" am puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the b""am puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather ""m puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub>"" puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it important to put ''B""puzzled by your "fixing" of the recursion formula at <url>. Why do you consider it imp""uzzled by your "fixing" of the recursion formula at <url>. Why do you""zzled by your "fixing" of the recursion formula at <u""zled by your "fixing" of the recursion""led by your "fixing" of ""ed by your ",0,0,0
