Community,Num,Index,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,EN1_zscore,EN2_zscore,EN3_zscore,EN4_zscore,EN5_zscore,EN6_zscore,EN7_zscore,EN8_zscore,EN9_zscore,EN10_zscore,EN11_zscore,EN12_zscore,EN13_zscore,EN14_zscore,EN15_zscore,EN16_zscore,EN17_zscore,EN18_zscore,EN19_zscore,EN20_zscore,EN21_zscore,EN22_zscore,EN23_zscore,EN24_zscore,EN25_zscore,EN26_zscore,EN27_zscore,EN28_zscore,EN29_zscore,EN30_zscore,EN31_zscore,CH1_zscore,CH2_zscore,CH3_zscore,CH4_zscore,CH5_zscore,CH6_zscore,CH7_zscore,CH8_zscore,CH9_zscore,CH10_zscore,CH11_zscore,CH12_zscore,CH13_zscore,CH14_zscore,CH15_zscore,CH16_zscore,CH17_zscore,CH18_zscore,CH19_zscore,CH20_zscore,CH21_zscore,label_t,label_t_z,label_d,label_d_z
Wikipedia,1,0,448758,Answered at <url>. Maybe you are not familiar with the expression?,-10,,,,,-3,,,,-3,,,,,-7,,1,,,3,,,,1,,,,,,,-1,,,,,0,,,1,,2,,,,,,-2,,,,,0,-1.779207134,,,,,-0.629510273,,,,-0.292931049,,,,,-1.180527268,,-0.084390697,,,0.720809869,,,,-0.263713236,,,,,,,-0.659577577,,,,,-0.086006789,,,0.217797681,,0.387222713,,,,,,-0.439874292,,,,,-0.369412496,0,0,-1,-1
Wikipedia,2,1,367359,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?",-7,,,,,-4,,,,-6,,,,,0,,1,,,5,,,,0,,,,,,,0,,,,,0,,,,,4,,,,,,0,,,,,4,-1.318079292,,,,,-0.868812574,,,,-0.864503828,,,,,0.009186983,,-0.084390697,,,1.294588869,,,,-0.579369988,,,,,,,-0.390362239,,,,,-0.086006789,,,,,0.693774027,,,,,,0.057374908,,,,,0.640946467,0,0,-1,-1
Wikipedia,3,2,622653,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,-12,,,,,-2,,,,-7,,,,,-10,,-10,,,-7,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-1,,,,,,-2,,,,,6,-2.086625694,,,,,-0.390207973,,,,-1.055028088,,,,,-1.690404804,,-2.334809293,,,-2.148085131,,,,-1.210683492,,,,,,,-1.198008252,,,,,-0.511740396,,,-2.424814182,,-0.072604259,,,,,,-0.439874292,,,,,1.146125948,0,0,1,1
Wikipedia,4,3,350825,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",-12,,,,,-8,,,,-12,,,,,-12,,-10,,,-6,,,,-5,,,,,,,-5,,,,,-2,,,1,,-3,,,,,,-2,,,,,-2,-2.086625694,,,,,-1.826021776,,,,-2.007649386,,,,,-2.030323162,,-2.334809293,,,-1.861195631,,,,-2.157653748,,,,,,,-1.736438927,,,,,-0.511740396,,,0.217797681,,-0.379155573,,,,,,-0.439874292,,,,,-0.874591977,1,1,1,1
Wikipedia,5,4,348828,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?",-11,,,,,-6,,,,-3,,,,,-4,,5,,,7,,,,3,,,,,,,3,,,,,8,,,0,,0,,,,,,5,,,,,5,-1.932916414,,,,,-1.347417175,,,,-0.292931049,,,,,-0.670649732,,0.733943338,,,1.868367869,,,,0.367600268,,,,,,,0.417283773,,,,,1.616927639,,,0.014519845,,0.080671398,,,,,,1.300497907,,,,,0.893536208,0,0,1,1
Wikipedia,6,5,143,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",7,,,,,8,,,,3,,,,,8,,11,,,10,,,,5,,,,,,,6,,,,,8,,,12,,7,,,,,,11,,,,,2,0.833850634,,,,,2.002815033,,,,0.850214509,,,,,1.368860412,,1.96144439,,,2.729036369,,,,0.998913772,,,,,,,1.224929786,,,,,1.616927639,,,2.453853873,,1.153600998,,,,,,2.792245506,,,,,0.135766986,0,0,-1,-1
Wikipedia,7,6,297566,What is a wall these days? 10 sentences?,0,,,,,-10,,,,-1,,,,,-11,,-4,,,0,,,,0,,,,,,,0,,,,,-2,,,,,0,,,,,,-1,,,,,3,-0.242114329,,,,,-2.304626377,,,,0.08811747,,,,,-1.860363983,,-1.107308241,,,-0.139858631,,,,-0.579369988,,,,,,,-0.390362239,,,,,-0.511740396,,,,,0.080671398,,,,,,-0.191249692,,,,,0.388356726,0,0,-1,-1
Wikipedia,8,7,550560,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?",4,,,,,1,,,,0,,,,,2,,2,,,0,,,,1,,,,,,,3,,,,,6,,,2,,1,,,,,,0,,,,,6,0.372722793,,,,,0.327698929,,,,0.27864173,,,,,0.34910534,,0.120192811,,,-0.139858631,,,,-0.263713236,,,,,,,0.417283773,,,,,1.191194032,,,0.421075517,,0.233947056,,,,,,0.057374908,,,,,1.146125948,0,0,-1,-1
Wikipedia,9,8,354110,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",-12,,,,,-1,,,,-12,,,,,-12,,-5,,,-6,,,,-2,,,,,,,-3,,,,,-2,,,-12,,-3,,,,,,-4,,,,,4,-2.086625694,,,,,-0.150905672,,,,-2.007649386,,,,,-2.030323162,,-1.31189175,,,-1.861195631,,,,-1.210683492,,,,,,,-1.198008252,,,,,-0.511740396,,,-2.424814182,,-0.379155573,,,,,,-0.937123492,,,,,0.640946467,0,0,-1,-1
Wikipedia,10,9,622398,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?",9,,,,,10,,,,2,,,,,12,,11,,,8,,,,4,,,,,,,6,,,,,0,,,12,,6,,,,,,3,,,,,2,1.141269195,,,,,2.481419634,,,,0.659690249,,,,,2.048697127,,1.96144439,,,2.155257369,,,,0.68325702,,,,,,,1.224929786,,,,,-0.086006789,,,2.453853873,,1.000325341,,,,,,0.803248707,,,,,0.135766986,0,0,-1,-1
Wikipedia,11,10,521809,Is this okay? Or OTT?,,,,,-2,,,-3,,,,8,,,,,4,,,2,,,,,,0,5,,,,,,,,,,,,,-3,0,,,,,,0,,,,,,,,,,-0.497387204,,,-0.393151508,,,,1.22035422,,,,,0.529359829,,,0.433920369,,,,,,-1.196842693,0.752516938,,,,,,,,,,,,,-0.943997719,0.080671398,,,,,,0.057374908,,,,,,0,0,-1,-1
Wikipedia,12,11,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?",,3,,,-4,,,-5,,,,3,,,,,4,,,2,,,,,,-4,3,,,,,,,,,,,,,-6,0,,,,,,0,,7,,,,,0.925433122,,,-0.93924662,,,-0.711811152,,,,0.359434135,,,,,0.529359829,,,0.433920369,,,,,,-3.003397702,0.331528441,,,,,,,,,,,,,-1.528418125,0.080671398,,,,,,0.057374908,,1.393378531,,,,0,0,-1,-1
Wikipedia,13,12,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?",,1,,,-2,,,-1,,,,-3,,,,,2,,,0,,,,,,3,0,,,,,,,,,,,,,-3,0,,,,,,-3,,-1,,,,,0.486833129,,,-0.497387204,,,-0.074491865,,,,-0.673669966,,,,,0.120192811,,,-0.139858631,,,,,,0.158073563,-0.299954304,,,,,,,,,,,,,-0.943997719,0.080671398,,,,,,-0.688498892,,-0.268703216,,,,0,0,-1,-1
