ID,Community,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,CH1,CH2,CH3,CH4/h,CH5/h,CH6/h,CH7/h,CH8/h,CH9/h,CH10/h,CH11/h,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8/h,KO9/h,KO10/h,Sue,Score1,Score2,Score3,Score4,Score5,NormalizedScore,politenessMEAN,politenessSD,MsgLength
1,Wikipedia,2320,Hmm...the picture was taken on my camera by someone else. To whom does the copyright belong?,21,12,13,13,15,15,14,14,20,13,,6,22,23,13,,7,,25,13,9,15,13,11,12,,13,13,1,18,13,21,17,13,0.463156043183043,16.40,3.44,92.00
2,Wikipedia,4026,"My question is ""Why?"" I am doing all the citations correctly and this still appears often. Can anyone tell me what I'm doing wrong?",19,10,11,12,16,5,13,2,16,10,,9,16,18,5,,1,,21,10,17,10,13,8,13,,18,13,1,13,9,21,21,19,0.635085440773979,16.60,5.37,131.00
3,Wikipedia,4767,I noticed you removed Pero Defformero from the list of folk metal bands and artists. What is the problem with this band?,8,9,12,12,8,14,13,13,18,9,,3,19,16,21,,1,,14,13,14,17,19,14,11,,13,11,1,14,10,8,21,7,-0.426832021044253,12.00,5.70,120.00
4,Wikipedia,5692,I don't see a connection between the 'url' and the 'url' articles that would warrant See Also links between the two.  Could you explain that to me?,12,11,13,15,16,13,12,10,18,19,,16,13,16,12,,7,,20,14,19,20,13,10,14,,16,12,1,11,16,13,9,13,-0.311648772516718,12.40,2.61,147.00
5,Wikipedia,7122,url'.. it doesn't really explain what the issue was. Can you word it better?,9,9,11,13,8,11,12,8,16,9,,8,14,18,8,,8,,12,7,14,16,13,5,10,,12,7,1,11,9,13,8,12,-0.742414326095755,10.60,2.07,77.00
6,Wikipedia,17795,"Hello, Jeff79. Would you weigh in on the above linked discussion regarding an edit you made?",18,11,13,13,15,16,13,16,20,14,,11,14,,17,,16,,18,13,15,16,14,,14,,16,17,1,17,17,17,17,17,0.719957087724476,17.00,0.00,92.00
7,Wikipedia,19520,Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,19,,11,14,13,13,12,16,19,20,,18,25,16,25,,18,,,20,21,22,18,17,12,,18,17,1,19,21,21,17,17,1.189654651867420,19.00,2.00,133.00
8,Wikipedia,20833,"Darkstar, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",10,6,10,11,7,4,12,6,20,10,,12,25,18,14,,1,,23,11,16,18,13,,12,,17,7,1,9,14,15,13,9,-0.344647768028842,12.00,2.83,186.00
9,Wikipedia,21812,These clickable images are great! Can you make one for the 10^-6 to 10^5 range too?,22,16,15,14,15,16,14,13,23,10,,15,13,19,12,,17,,25,16,18,18,15,21,14,,20,17,1,17,17,21,21,17,1.045831823555110,18.60,2.19,83.00
10,Wikipedia,21885,Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917.  I wonder whether you could point me to a source for more information on this incident?,20,16,13,13,18,17,13,16,21,19,,7,21,15,16,,10,,23,20,14,18,15,,12,,16,10,1,17,17,16,17,17,0.800638509679627,16.80,0.45,194.00
11,Wikipedia,25456,My concern is that you are proceeding at such a rate of knots that it going to be difficult to later unpick and I can see some disagreement on this.  Why not seek a consensus?,12,7,13,12,12,10,11,12,18,7,,6,18,19,16,,2,,19,5,15,10,17,,12,,12,8,1,19,16,15,9,9,-0.229904269545671,13.60,4.45,175.00
12,Wikipedia,28354,url' is fooling around with the Rubinstein and Horowitz articles again.  Is there a way to get him banned?,12,2,12,8,10,8,12,10,20,13,,16,20,16,15,,1,,19,13,16,16,12,11,10,,13,10,1,13,9,15,15,13,-0.172213296347610,13.00,2.45,107.00
13,Wikipedia,36851,"I'm curious, are you stopping at characters? Or will you eventually move onto season pages and the main page itself?",18,9,13,13,13,16,11,13,16,11,,9,24,24,6,,9,,11,13,7,13,15,7,10,,12,9,1,17,17,15,5,13,-0.174963419611183,13.40,4.98,116.00
14,Wikipedia,39167,"Like most users with their articles screwed over by 'url''s new web facelift, I'm at a lost with 'url' being dead. Can you help?",18,11,13,10,16,10,13,15,18,13,,4,15,14,9,,25,,22,14,14,17,15,,12,,16,10,1,17,17,5,13,21,-0.065407123021430,14.60,6.07,128.00
15,Wikipedia,39531,Unfortunately the 4chan page you linked to in 'url' does not exist now. Can you give a pointer to what is involved?,19,12,14,13,14,15,12,13,19,12,,3,17,19,17,,4,,22,14,23,22,14,14,14,,17,14,1,13,20,15,17,13,0.412982381705329,15.60,2.97,115.00
16,Wikipedia,39729,"Could you do me a huge favour, but only if you want to, because I know it's a lot to ask. Could you do the Peer Review for ''Loud'' by any chance?",25,14,14,16,14,18,13,22,23,17,18,,17,10,,,25,,15,25,19,25,19,22,11,,18,,1,21,21,25,20,21,1.838649444975910,21.60,1.95,146.00
17,Wikipedia,40728,"Hi, I was wondering why it is that 'url' only has two articles in it -- and whether it should be kept. Has it ever been more fully populated?",20,11,14,14,18,14,13,13,23,13,15,,24,17,,,11,,19,13,9,17,16,13,10,,18,,1,15,13,15,21,17,0.346864332483563,16.20,3.03,141.00
18,Wikipedia,43454,Good find. Do you have a cite for the second para?,23,14,13,15,17,23,15,15,18,14,17,,18,10,,,14,,20,17,18,16,14,17,10,,15,,1,13,17,17,17,21,0.679906753990585,17.00,2.83,50.00
19,Wikipedia,45710,"Your 'url' give your first edit as on April 9, 2011. Do you have any other account you have not disclosed yet?",,7,12,12,16,12,14,17,16,13,20,,22,10,,,15,,2,10,17,13,13,13,11,,16,,1,12,17,10,1,5,-0.658241268352047,9.00,6.20,110.00
20,Wikipedia,50455,I noticed that you have a little note at the top saying your status. How do you do that?,13,15,13,12,13,13,14,13,19,10,15,,19,18,,,4,,16,15,12,13,17,11,11,,14,,1,12,17,21,17,17,0.598831703212736,16.80,3.19,88.00
21,Wikipedia,50905,I asked some questions in the Criteria for Inclusion section on 20th Dec but no-one has yet responded. Can you take a look?,14,14,12,13,15,11,12,15,20,13,20,,17,19,,,8,,20,13,14,15,17,15,12,,20,,1,16,18,23,21,19,0.965132563739538,19.40,2.70,123.00
22,Wikipedia,51534,I reverted 'url' as it complicated my normal routine archiving of all the discussions on my talk page.  Could you please refrain from this kind of edit in future?,9,5,10,12,7,14,13,13,19,17,21,,20,13,,,10,,2,13,14,21,15,15,7,,20,,1,17,17,9,13,5,-0.301998663511372,12.20,5.22,162.00
23,Wikipedia,52673,I am trying to figure out the exact definition of 'url' however do not have access to Andrews.  Could you help?,20,12,12,13,11,10,15,14,24,18,17,,18,12,,,9,,17,13,16,21,15,15,11,,20,,1,17,21,17,16,19,0.911434971144944,18.00,2.00,111.00
24,Wikipedia,60607,"The article is not about this, at all. Could you explain your logic?",3,6,14,10,10,8,12,13,15,18,19,,20,14,,,1,,1,1,11,8,14,10,9,,19,,1,9,13,9,12,5,-1.073125744681560,9.60,3.13,68.00
25,Wikipedia,66092,"Per 'url', there was an autoblock affecting your editing that has now been lifted.  Can you edit freely now?",25,12,12,14,14,13,15,13,17,13,17,,21,21,,,13,,,14,16,18,19,16,13,,16,,1,17,13,13,18,21,0.410750308285620,16.40,3.44,108.00
26,Wikipedia,69712,"You mean ""the higher solubility in the ocean""? Solubility of what?",16,8,13,8,8,6,12,12,14,8,,,20,15,,,8,,2,1,5,4,14,7,9,,8,,1,12,9,9,9,10,-0.681952627458841,9.80,1.30,66.00
27,Wikipedia,70280,it is up on their website. Do you know how to put it on the south wales scorpions infobox thing on the wikipedia page?,16,11,13,13,16,10,14,13,15,14,13,,19,13,,,14,,13,13,17,12,17,,9,,15,,1,13,13,17,13,13,-0.134537654142870,13.80,1.79,118.00
28,Wikipedia,75904,I'm interested in why you reduced the columns from 5 to 2? Could you reply on my talk page please?,8,7,13,14,9,14,12,14,17,17,22,,21,16,,,10,,8,4,12,21,14,14,11,,21,,1,21,21,17,15,20,1.403242865104300,18.80,2.68,98.00
29,Wikipedia,79211,Is as usual being overrun with pointless blather. Would you like to set up a subpage to discuss sources?,2,,12,9,13,9,12,13,13,16,17,,22,13,,,10,,15,3,17,21,14,,12,,19,,1,21,9,13,9,17,0.058063636365699,13.80,5.22,104.00
